2014-05-19-13:09:27,73 0.1648
2014-05-19-13:09:32,73 0.1648
2014-05-19-13:09:37,73 0.1714
2014-05-19-13:09:42,74 0.1648
2014-05-19-13:09:47,74 0.1714
2014-05-19-13:09:52,75 0.1648
2014-05-19-13:09:57,75 0.1648
2014-05-19-13:10:02,75 0.1714
2014-05-19-13:10:07,76 0.1648
2014-05-19-13:10:12,76 0.1714
2014-05-19-13:10:17,77 0.1648
2014-05-19-13:10:22,77 0.1648
2014-05-19-13:10:27,77 0.1714
2014-05-19-13:10:32,78 0.1714
2014-05-19-13:10:37,78 0.1648
2014-05-19-13:10:42,79 0.1648
2014-05-19-13:10:47,79 0.1714
2014-05-19-13:10:52,79 0.1648
2014-05-19-13:10:57,80 0.1714
2014-05-19-13:11:02,80 0.1648
2014-05-19-13:11:07,81 0.1648
2014-05-19-13:11:12,81 0.1714
2014-05-19-13:11:17,81 0.1648
2014-05-19-13:11:22,82 0.1714
2014-05-19-13:11:27,82 0.1648
2014-05-19-13:11:32,82 0.1648
2014-05-19-13:11:37,83 0.1714
2014-05-19-13:11:42,83 0.1648
2014-05-19-13:11:47,84 0.1714
2014-05-19-13:11:52,84 0.1648
2014-05-19-13:11:57,84 0.1714
2014-05-19-13:12:02,85 0.1648
2014-05-19-13:12:07,85 0.1714
2014-05-19-13:12:12,86 0.1648
2014-05-19-13:12:17,86 0.1648
2014-05-19-13:12:22,86 0.1714
2014-05-19-13:12:27,87 0.1648
2014-05-19-13:12:32,87 0.1714
2014-05-19-13:12:37,88 0.1648
2014-05-19-13:12:42,88 0.1648
2014-05-19-13:12:47,88 0.1714
2014-05-19-13:12:52,89 0.1648
2014-05-19-13:12:57,89 0.1714
2014-05-19-13:13:02,90 0.1648
2014-05-19-13:13:07,90 0.1648
2014-05-19-13:13:12,90 0.1714
2014-05-19-13:13:17,91 0.1648
2014-05-19-13:13:22,91 0.1648
2014-05-19-13:13:27,91 0.1714
2014-05-19-13:13:32,92 0.1648
2014-05-19-13:13:37,92 0.1714
2014-05-19-13:13:42,93 0.1648
2014-05-19-13:13:47,93 0.1648
2014-05-19-13:13:52,93 0.1714
2014-05-19-13:13:57,94 0.1648
2014-05-19-13:14:02,94 0.1714
2014-05-19-13:14:07,95 0.1648
2014-05-19-13:14:12,95 0.1714
2014-05-19-13:14:17,95 0.1648
2014-05-19-13:14:22,96 0.1714
2014-05-19-13:14:27,96 0.1648
2014-05-19-13:14:32,97 0.1648
2014-05-19-13:14:37,97 0.1714
2014-05-19-13:14:42,97 0.1648
2014-05-19-13:14:47,98 0.1714
2014-05-19-13:14:52,98 0.1648
2014-05-19-13:14:57,98 0.1648
2014-05-19-13:15:02,99 0.1714
2014-05-19-13:15:07,99 0.1648
2014-05-19-13:15:13,00 0.1714
2014-05-19-13:15:18,00 0.1648
2014-05-19-13:15:23,00 0.1648
2014-05-19-13:15:28,01 0.1714
2014-05-19-13:15:33,01 0.1648
2014-05-19-13:15:38,02 0.1714
2014-05-19-13:15:43,02 0.1648
2014-05-19-13:15:48,03 0.1713
2014-05-19-13:15:53,03 0.1648
2014-05-19-13:15:58,04 0.1648
2014-05-19-13:16:03,04 0.1714
2014-05-19-13:16:08,04 0.1648
2014-05-19-13:16:13,05 0.1714
2014-05-19-13:16:18,05 0.1648
2014-05-19-13:16:23,06 0.1648
2014-05-19-13:16:28,06 0.1714
2014-05-19-13:16:33,06 0.1648
2014-05-19-13:16:38,07 0.1714
2014-05-19-13:16:43,07 0.1648
2014-05-19-13:16:48,08 0.1714
2014-05-19-13:16:53,08 0.1648
2014-05-19-13:16:58,08 0.1648
2014-05-19-13:17:03,09 0.1714
2014-05-19-13:17:08,09 0.1648
2014-05-19-13:17:13,09 0.1714
2014-05-19-13:17:18,10 0.1648
2014-05-19-13:17:23,10 0.1714
2014-05-19-13:17:28,11 0.1648
2014-05-19-13:17:33,11 0.1648
2014-05-19-13:17:38,11 0.1714
2014-05-19-13:17:43,12 0.1648
2014-05-19-13:17:48,12 0.1714
2014-05-19-13:17:53,13 0.1648
2014-05-19-13:17:58,13 0.1648
2014-05-19-13:18:03,13 0.1714
2014-05-19-13:18:08,14 0.1648
2014-05-19-13:18:13,14 0.1714
2014-05-19-13:18:18,15 0.1648
2014-05-19-13:18:23,15 0.1648
2014-05-19-13:18:28,15 0.1714
2014-05-19-13:18:33,16 0.1648
2014-05-19-13:18:38,16 0.1714
2014-05-19-13:18:43,16 0.1648
2014-05-19-13:18:48,17 0.1648
2014-05-19-13:18:53,17 0.1714
2014-05-19-13:18:58,18 0.1714
2014-05-19-13:19:03,18 0.1648
2014-05-19-13:19:08,18 0.1714
2014-05-19-13:19:13,19 0.1648
2014-05-19-13:19:18,19 0.1648
2014-05-19-13:19:23,20 0.1714
2014-05-19-13:19:28,20 0.1648
2014-05-19-13:19:33,20 0.1714
2014-05-19-13:19:38,21 0.1648
2014-05-19-13:19:43,21 0.1648
2014-05-19-13:19:48,22 0.1714
2014-05-19-13:19:53,22 0.1648
2014-05-19-13:19:58,22 0.1714
2014-05-19-13:20:03,23 0.1648
2014-05-19-13:20:08,23 0.1648
2014-05-19-13:20:13,24 0.1714
2014-05-19-13:20:18,24 0.1648
2014-05-19-13:20:23,24 0.1714
2014-05-19-13:20:28,25 0.1648
2014-05-19-13:20:33,25 0.1714
2014-05-19-13:20:38,26 0.1648
2014-05-19-13:20:43,26 0.1648
2014-05-19-13:20:48,26 0.1714
2014-05-19-13:20:53,27 0.1648
2014-05-19-13:20:58,27 0.1714
2014-05-19-13:21:03,27 0.1648
2014-05-19-13:21:08,28 0.1648
2014-05-19-13:21:13,28 0.1714
2014-05-19-13:21:18,29 0.1648
2014-05-19-13:21:23,29 0.1714
2014-05-19-13:21:28,29 0.1648
2014-05-19-13:21:33,30 0.1648
2014-05-19-13:21:38,30 0.1714
2014-05-19-13:21:43,31 0.1648
2014-05-19-13:21:48,31 0.1714
2014-05-19-13:21:53,31 0.1648
2014-05-19-13:21:58,32 0.1648
2014-05-19-13:22:03,32 0.1714
2014-05-19-13:22:08,33 0.1648
2014-05-19-13:22:13,33 0.1714
2014-05-19-13:22:18,33 0.1648
2014-05-19-13:22:23,34 0.1648
2014-05-19-13:22:28,34 0.1714
2014-05-19-13:22:33,34 0.1648
2014-05-19-13:22:38,35 0.1714
2014-05-19-13:22:43,35 0.1648
2014-05-19-13:22:48,36 0.1714
2014-05-19-13:22:53,36 0.1648
2014-05-19-13:22:58,36 0.1714
2014-05-19-13:23:03,37 0.1648
2014-05-19-13:23:08,37 0.1715
2014-05-19-13:23:13,38 0.1648
2014-05-19-13:23:18,38 0.1714
2014-05-19-13:23:23,38 0.1648
2014-05-19-13:23:28,39 0.1648
2014-05-19-13:23:33,39 0.1714
2014-05-19-13:23:38,40 0.1648
2014-05-19-13:23:43,40 0.1714
2014-05-19-13:23:48,40 0.1648
2014-05-19-13:23:53,41 0.1714
2014-05-19-13:23:58,41 0.1648
2014-05-19-13:24:03,42 0.1648
2014-05-19-13:24:08,42 0.1714
2014-05-19-13:24:13,42 0.1648
2014-05-19-13:24:18,43 0.1714
2014-05-19-13:24:23,43 0.1647
2014-05-19-13:24:28,44 0.1648
2014-05-19-13:24:33,44 0.1714
2014-05-19-13:24:38,45 0.1648
2014-05-19-13:24:43,45 0.1713
2014-05-19-13:24:48,46 0.1648
2014-05-19-13:24:53,46 0.1648
2014-05-19-13:24:58,47 0.1714
2014-05-19-13:25:03,47 0.1648
2014-05-19-13:25:08,47 0.1780
2014-05-19-13:25:13,48 0.1714
2014-05-19-13:25:18,48 0.1648
2014-05-19-13:25:23,49 0.1648
2014-05-19-13:25:28,49 0.1714
2014-05-19-13:25:33,49 0.1781
2014-05-19-13:25:38,50 0.1648
2014-05-19-13:25:43,50 0.1648
2014-05-19-13:25:48,51 0.1714
2014-05-19-13:25:53,51 0.1648
2014-05-19-13:25:58,51 0.1714
2014-05-19-13:26:03,52 0.1648
2014-05-19-13:26:08,52 0.1714
2014-05-19-13:26:13,53 0.1648
2014-05-19-13:26:18,53 0.1648
2014-05-19-13:26:23,53 0.1714
2014-05-19-13:26:28,54 0.1648
2014-05-19-13:26:33,54 0.1714
2014-05-19-13:26:38,54 0.1648
2014-05-19-13:26:43,55 0.1648
2014-05-19-13:26:48,55 0.1714
2014-05-19-13:26:53,56 0.1648
2014-05-19-13:26:58,56 0.1714
2014-05-19-13:27:03,56 0.1648
2014-05-19-13:27:08,57 0.1648
2014-05-19-13:27:13,57 0.1714
2014-05-19-13:27:18,58 0.1714
2014-05-19-13:27:23,58 0.1648
2014-05-19-13:27:28,58 0.1648
2014-05-19-13:27:33,59 0.1714
2014-05-19-13:27:38,59 0.1648
2014-05-19-13:27:43,60 0.1714
2014-05-19-13:27:48,60 0.1648
2014-05-19-13:27:53,60 0.1648
2014-05-19-13:27:58,61 0.1714
2014-05-19-13:28:03,61 0.1648
2014-05-19-13:28:08,61 0.1714
2014-05-19-13:28:13,62 0.1648
2014-05-19-13:28:18,62 0.1648
2014-05-19-13:28:23,63 0.1714
2014-05-19-13:28:28,63 0.1648
2014-05-19-13:28:33,63 0.1714
2014-05-19-13:28:38,64 0.1648
2014-05-19-13:28:43,64 0.1714
2014-05-19-13:28:48,65 0.1648
2014-05-19-13:28:53,65 0.1648
2014-05-19-13:28:58,65 0.1714
2014-05-19-13:29:03,66 0.1648
2014-05-19-13:29:08,66 0.1714
2014-05-19-13:29:13,67 0.1648
2014-05-19-13:29:18,67 0.1648
2014-05-19-13:29:23,67 0.1714
2014-05-19-13:29:28,68 0.1648
2014-05-19-13:29:33,68 0.1714
2014-05-19-13:29:38,69 0.1648
2014-05-19-13:29:43,69 0.1715
2014-05-19-13:29:48,69 0.1648
2014-05-19-13:29:53,70 0.1648
2014-05-19-13:29:58,70 0.1714
2014-05-19-13:30:03,70 0.1648
2014-05-19-13:30:08,71 0.1714
2014-05-19-13:30:13,71 0.1648
2014-05-19-13:30:18,72 0.1648
2014-05-19-13:30:23,72 0.1714
2014-05-19-13:30:28,72 0.1648
2014-05-19-13:30:33,73 0.1713
2014-05-19-13:30:38,74 0.1648
2014-05-19-13:30:43,74 0.1648
2014-05-19-13:30:48,74 0.1714
2014-05-19-13:30:53,75 0.1648
2014-05-19-13:30:58,75 0.1714
2014-05-19-13:31:03,76 0.1648
2014-05-19-13:31:08,76 0.1648
2014-05-19-13:31:13,76 0.1714
2014-05-19-13:31:18,77 0.1648
2014-05-19-13:31:23,77 0.1714
2014-05-19-13:31:28,78 0.1648
2014-05-19-13:31:33,78 0.1714
2014-05-19-13:31:38,78 0.1648
2014-05-19-13:31:43,79 0.1714
2014-05-19-13:31:48,79 0.1648
2014-05-19-13:31:53,79 0.1648
2014-05-19-13:31:58,80 0.1714
2014-05-19-13:32:03,80 0.1648
2014-05-19-13:32:08,81 0.1714
2014-05-19-13:32:13,81 0.1648
2014-05-19-13:32:18,81 0.1714
2014-05-19-13:32:23,82 0.1648
2014-05-19-13:32:28,82 0.1648
2014-05-19-13:32:33,83 0.1714
2014-05-19-13:32:38,83 0.1648
2014-05-19-13:32:43,83 0.1714
2014-05-19-13:32:48,84 0.1648
2014-05-19-13:32:53,84 0.1648
2014-05-19-13:32:58,85 0.1714
2014-05-19-13:33:03,85 0.1648
2014-05-19-13:33:08,85 0.1714
2014-05-19-13:33:13,86 0.1648
2014-05-19-13:33:18,86 0.1648
2014-05-19-13:33:23,87 0.1714
2014-05-19-13:33:28,87 0.1648
2014-05-19-13:33:33,88 0.1713
2014-05-19-13:33:38,88 0.1648
2014-05-19-13:33:43,88 0.1648
2014-05-19-13:33:48,89 0.1714
2014-05-19-13:33:53,89 0.1648
2014-05-19-13:33:58,90 0.1714
2014-05-19-13:34:03,90 0.1648
2014-05-19-13:34:08,90 0.1714
2014-05-19-13:34:13,91 0.1648
2014-05-19-13:34:18,91 0.1648
2014-05-19-13:34:23,92 0.1714
2014-05-19-13:34:28,92 0.1648
2014-05-19-13:34:33,92 0.1714
2014-05-19-13:34:38,93 0.1648
2014-05-19-13:34:43,93 0.1648
2014-05-19-13:34:48,94 0.1714
2014-05-19-13:34:53,94 0.1648
2014-05-19-13:34:58,94 0.1714
2014-05-19-13:35:03,95 0.1648
2014-05-19-13:35:08,95 0.1648
2014-05-19-13:35:13,96 0.1714
2014-05-19-13:35:18,96 0.1648
2014-05-19-13:35:23,96 0.1714
2014-05-19-13:35:28,97 0.1648
2014-05-19-13:35:33,97 0.1648
2014-05-19-13:35:38,97 0.1714
2014-05-19-13:35:43,98 0.1648
2014-05-19-13:35:48,98 0.1714
2014-05-19-13:35:53,99 0.1648
2014-05-19-13:35:58,99 0.1648
2014-05-19-13:36:03,99 0.1714
2014-05-19-13:36:09,00 0.1648
2014-05-19-13:36:14,00 0.1714
2014-05-19-13:36:19,01 0.1648
2014-05-19-13:36:24,01 0.1714
2014-05-19-13:36:29,01 0.1648
2014-05-19-13:36:34,02 0.1714
2014-05-19-13:36:39,02 0.1648
2014-05-19-13:36:44,03 0.1648
2014-05-19-13:36:49,03 0.1714
2014-05-19-13:36:54,03 0.1648
2014-05-19-13:36:59,04 0.1714
2014-05-19-13:37:04,04 0.1648
2014-05-19-13:37:09,05 0.1714
2014-05-19-13:37:14,05 0.1648
2014-05-19-13:37:19,05 0.1648
2014-05-19-13:37:24,06 0.1714
2014-05-19-13:37:29,06 0.1648
2014-05-19-13:37:34,06 0.1714
2014-05-19-13:37:39,07 0.1648
2014-05-19-13:37:44,07 0.1714
2014-05-19-13:37:49,08 0.1648
2014-05-19-13:37:54,08 0.1648
2014-05-19-13:37:59,08 0.1714
2014-05-19-13:38:04,09 0.1648
2014-05-19-13:38:09,09 0.1714
2014-05-19-13:38:14,10 0.1648
2014-05-19-13:38:19,10 0.1648
2014-05-19-13:38:24,10 0.1714
2014-05-19-13:38:29,11 0.1648
2014-05-19-13:38:34,11 0.1648
2014-05-19-13:38:39,12 0.1714
2014-05-19-13:38:44,12 0.1648
2014-05-19-13:38:49,12 0.1714
2014-05-19-13:38:54,13 0.1648
2014-05-19-13:38:59,13 0.1648
2014-05-19-13:39:04,14 0.1714
2014-05-19-13:39:09,14 0.1648
2014-05-19-13:39:14,14 0.1714
2014-05-19-13:39:19,15 0.1648
2014-05-19-13:39:24,15 0.1714
2014-05-19-13:39:29,15 0.1648
2014-05-19-13:39:34,16 0.1714
2014-05-19-13:39:39,16 0.1648
2014-05-19-13:39:44,17 0.1648
2014-05-19-13:39:49,17 0.1714
2014-05-19-13:39:54,17 0.1648
2014-05-19-13:39:59,18 0.1714
2014-05-19-13:40:04,18 0.1648
2014-05-19-13:40:09,19 0.1648
2014-05-19-13:40:14,19 0.1714
2014-05-19-13:40:19,20 0.1713
2014-05-19-13:40:24,20 0.1648
2014-05-19-13:40:29,21 0.1714
2014-05-19-13:40:34,21 0.1648
2014-05-19-13:40:39,21 0.1648
2014-05-19-13:40:44,22 0.1714
2014-05-19-13:40:49,22 0.1648
2014-05-19-13:40:54,23 0.1714
2014-05-19-13:40:59,23 0.1648
2014-05-19-13:41:04,23 0.1648
2014-05-19-13:41:09,24 0.1714
2014-05-19-13:41:14,24 0.1648
2014-05-19-13:41:19,24 0.1714
2014-05-19-13:41:24,25 0.1648
2014-05-19-13:41:29,25 0.1648
2014-05-19-13:41:34,26 0.1714
2014-05-19-13:41:39,26 0.1648
2014-05-19-13:41:44,26 0.1714
2014-05-19-13:41:49,27 0.1648
2014-05-19-13:41:54,27 0.1648
2014-05-19-13:41:59,28 0.1714
2014-05-19-13:42:04,28 0.1648
2014-05-19-13:42:09,28 0.1714
2014-05-19-13:42:14,29 0.1648
2014-05-19-13:42:19,29 0.1648
2014-05-19-13:42:24,30 0.1713
2014-05-19-13:42:29,31 0.1647
2014-05-19-13:42:34,31 0.1714
2014-05-19-13:42:39,32 0.1648
2014-05-19-13:42:44,32 0.1714
2014-05-19-13:42:49,32 0.1648
2014-05-19-13:42:54,33 0.1648
2014-05-19-13:42:59,33 0.1714
2014-05-19-13:43:04,33 0.1648
2014-05-19-13:43:09,34 0.1714
2014-05-19-13:43:14,34 0.1648
2014-05-19-13:43:19,35 0.1648
2014-05-19-13:43:24,35 0.1714
2014-05-19-13:43:29,35 0.1648
2014-05-19-13:43:34,36 0.1714
2014-05-19-13:43:39,36 0.1648
2014-05-19-13:43:44,37 0.1648
2014-05-19-13:43:49,37 0.1780
2014-05-19-13:43:54,37 0.1648
2014-05-19-13:43:59,38 0.1648
2014-05-19-13:44:04,38 0.1714
2014-05-19-13:44:09,39 0.1648
2014-05-19-13:44:14,39 0.1714
2014-05-19-13:44:19,39 0.1648
2014-05-19-13:44:24,40 0.1714
2014-05-19-13:44:29,40 0.1648
2014-05-19-13:44:34,41 0.1648
2014-05-19-13:44:39,41 0.1714
2014-05-19-13:44:44,41 0.1648
2014-05-19-13:44:49,42 0.1714
2014-05-19-13:44:54,42 0.1648
2014-05-19-13:44:59,42 0.1714
2014-05-19-13:45:04,43 0.1648
2014-05-19-13:45:09,43 0.1648
2014-05-19-13:45:14,44 0.1714
2014-05-19-13:45:19,44 0.1648
2014-05-19-13:45:24,44 0.1714
2014-05-19-13:45:29,45 0.1648
2014-05-19-13:45:34,45 0.1648
2014-05-19-13:45:39,46 0.1714
2014-05-19-13:45:44,46 0.1648
2014-05-19-13:45:49,46 0.1714
2014-05-19-13:45:54,47 0.1648
2014-05-19-13:45:59,47 0.1714
2014-05-19-13:46:04,48 0.1648
2014-05-19-13:46:09,48 0.1714
2014-05-19-13:46:14,48 0.1648
2014-05-19-13:46:19,49 0.1714
2014-05-19-13:46:24,49 0.1780
2014-05-19-13:46:29,50 0.1714
2014-05-19-13:46:34,50 0.1648
2014-05-19-13:46:39,50 0.1648
2014-05-19-13:46:44,51 0.1714
2014-05-19-13:46:49,51 0.1648
2014-05-19-13:46:54,51 0.1714
2014-05-19-13:46:59,52 0.1648
2014-05-19-13:47:04,52 0.1648
2014-05-19-13:47:09,53 0.1714
2014-05-19-13:47:14,53 0.1648
2014-05-19-13:47:19,53 0.1714
2014-05-19-13:47:24,54 0.1648
2014-05-19-13:47:29,54 0.1648
2014-05-19-13:47:34,55 0.1714
2014-05-19-13:47:39,55 0.1648
2014-05-19-13:47:44,55 0.1714
2014-05-19-13:47:49,56 0.1648
2014-05-19-13:47:54,56 0.1648
2014-05-19-13:47:59,57 0.1714
2014-05-19-13:48:04,57 0.1647
2014-05-19-13:48:09,58 0.1714
2014-05-19-13:48:14,58 0.1648
2014-05-19-13:48:19,59 0.1714
2014-05-19-13:48:24,59 0.1648
2014-05-19-13:48:29,59 0.1648
2014-05-19-13:48:34,60 0.1714
2014-05-19-13:48:39,60 0.1648
2014-05-19-13:48:44,60 0.1714
2014-05-19-13:48:49,61 0.1648
2014-05-19-13:48:54,61 0.1714
2014-05-19-13:48:59,62 0.1648
2014-05-19-13:49:04,62 0.1714
2014-05-19-13:49:09,62 0.1648
2014-05-19-13:49:14,63 0.1648
2014-05-19-13:49:19,63 0.1714
2014-05-19-13:49:24,64 0.1648
2014-05-19-13:49:29,64 0.1714
2014-05-19-13:49:34,64 0.1648
2014-05-19-13:49:39,65 0.1648
2014-05-19-13:49:44,65 0.1714
2014-05-19-13:49:49,66 0.1648
2014-05-19-13:49:54,66 0.1714
2014-05-19-13:49:59,66 0.1648
2014-05-19-13:50:04,67 0.1715
2014-05-19-13:50:09,67 0.1649
2014-05-19-13:50:14,67 0.1648
2014-05-19-13:50:19,68 0.1714
2014-05-19-13:50:24,68 0.1648
2014-05-19-13:50:29,68 0.1648
2014-05-19-13:50:34,69 0.1714
2014-05-19-13:50:39,69 0.1648
2014-05-19-13:50:44,69 0.1714
2014-05-19-13:50:49,70 0.1648
2014-05-19-13:50:54,70 0.1648
2014-05-19-13:50:59,71 0.1714
2014-05-19-13:51:04,71 0.1648
2014-05-19-13:51:09,71 0.1714
2014-05-19-13:51:14,72 0.1647
2014-05-19-13:51:19,73 0.1713
2014-05-19-13:51:24,73 0.1648
2014-05-19-13:51:29,74 0.1714
2014-05-19-13:51:34,74 0.1648
2014-05-19-13:51:39,75 0.1648
2014-05-19-13:51:44,75 0.1714
2014-05-19-13:51:49,75 0.1648
2014-05-19-13:51:54,76 0.1714
2014-05-19-13:51:59,76 0.1648
2014-05-19-13:52:04,77 0.1648
2014-05-19-13:52:09,77 0.1714
2014-05-19-13:52:14,77 0.1648
2014-05-19-13:52:19,78 0.1714
2014-05-19-13:52:24,78 0.1648
2014-05-19-13:52:29,79 0.1714
2014-05-19-13:52:34,79 0.1648
2014-05-19-13:52:39,79 0.1714
2014-05-19-13:52:44,80 0.1648
2014-05-19-13:52:49,80 0.1648
2014-05-19-13:52:54,80 0.1714
2014-05-19-13:52:59,81 0.1648
2014-05-19-13:53:04,81 0.1714
2014-05-19-13:53:09,82 0.1648
2014-05-19-13:53:14,82 0.1648
2014-05-19-13:53:19,82 0.1714
2014-05-19-13:53:24,83 0.1648
2014-05-19-13:53:29,83 0.1714
2014-05-19-13:53:34,84 0.1648
2014-05-19-13:53:39,84 0.1648
2014-05-19-13:53:44,84 0.1714
2014-05-19-13:53:49,85 0.1648
2014-05-19-13:53:54,85 0.1714
2014-05-19-13:53:59,86 0.1648
2014-05-19-13:54:04,86 0.1648
2014-05-19-13:54:09,86 0.1714
2014-05-19-13:54:14,87 0.1648
2014-05-19-13:54:19,87 0.1714
2014-05-19-13:54:24,87 0.1648
2014-05-19-13:54:29,88 0.1714
2014-05-19-13:54:34,88 0.1648
2014-05-19-13:54:39,89 0.1648
2014-05-19-13:54:44,89 0.1714
2014-05-19-13:54:49,89 0.1648
2014-05-19-13:54:54,90 0.1714
2014-05-19-13:54:59,90 0.1648
2014-05-19-13:55:04,91 0.1648
2014-05-19-13:55:09,91 0.1714
2014-05-19-13:55:14,91 0.1648
2014-05-19-13:55:19,92 0.1714
2014-05-19-13:55:24,92 0.1648
2014-05-19-13:55:29,93 0.1648
2014-05-19-13:55:34,93 0.1714
2014-05-19-13:55:39,93 0.1648
2014-05-19-13:55:44,94 0.1714
2014-05-19-13:55:49,94 0.1648
2014-05-19-13:55:54,95 0.1648
2014-05-19-13:55:59,95 0.1714
2014-05-19-13:56:04,95 0.1648
2014-05-19-13:56:09,96 0.1714
2014-05-19-13:56:14,96 0.1648
2014-05-19-13:56:19,96 0.1648
2014-05-19-13:56:24,97 0.1714
2014-05-19-13:56:29,97 0.1648
2014-05-19-13:56:34,98 0.1714
2014-05-19-13:56:39,98 0.1648
2014-05-19-13:56:44,98 0.1714
2014-05-19-13:56:49,99 0.1648
2014-05-19-13:56:54,99 0.1648
2014-05-19-13:57:00,00 0.1714
2014-05-19-13:57:05,00 0.1648
2014-05-19-13:57:10,00 0.1714
2014-05-19-13:57:15,01 0.1648
2014-05-19-13:57:20,01 0.1648
2014-05-19-13:57:25,02 0.1714
2014-05-19-13:57:30,02 0.1714
2014-05-19-13:57:35,02 0.1648
2014-05-19-13:57:40,03 0.1648
2014-05-19-13:57:45,03 0.1714
2014-05-19-13:57:50,04 0.1648
2014-05-19-13:57:55,04 0.1714
2014-05-19-13:58:00,04 0.1648
2014-05-19-13:58:05,05 0.1648
2014-05-19-13:58:10,05 0.1714
2014-05-19-13:58:15,05 0.1648
2014-05-19-13:58:20,06 0.1714
2014-05-19-13:58:25,06 0.1648
2014-05-19-13:58:30,07 0.1648
2014-05-19-13:58:35,07 0.1714
2014-05-19-13:58:40,07 0.1648
2014-05-19-13:58:45,08 0.1714
2014-05-19-13:58:50,08 0.1648
2014-05-19-13:58:55,09 0.1648
2014-05-19-13:59:00,09 0.1714
2014-05-19-13:59:05,09 0.1648
2014-05-19-13:59:10,10 0.1714
2014-05-19-13:59:15,10 0.1648
2014-05-19-13:59:20,11 0.1714
2014-05-19-13:59:25,11 0.1648
2014-05-19-13:59:30,11 0.1648
2014-05-19-13:59:35,12 0.1714
2014-05-19-13:59:40,12 0.1648
2014-05-19-13:59:45,13 0.1714
2014-05-19-13:59:50,13 0.1648
2014-05-19-13:59:55,13 0.1648
2014-05-19-14:00:00,14 0.1714
2014-05-19-14:00:05,14 0.1648
2014-05-19-14:00:10,15 0.1713
2014-05-19-14:00:15,15 0.1648
2014-05-19-14:00:20,16 0.1648
2014-05-19-14:00:25,16 0.1714
2014-05-19-14:00:30,16 0.1648
2014-05-19-14:00:35,17 0.1714
2014-05-19-14:00:40,17 0.1648
2014-05-19-14:00:45,18 0.1714
2014-05-19-14:00:50,18 0.1648
2014-05-19-14:00:55,18 0.1714
2014-05-19-14:01:00,19 0.1648
2014-05-19-14:01:05,19 0.1714
2014-05-19-14:01:10,20 0.1648
2014-05-19-14:01:15,20 0.1648
2014-05-19-14:01:20,20 0.1714
2014-05-19-14:01:25,21 0.1648
2014-05-19-14:01:30,21 0.1714
2014-05-19-14:01:35,22 0.1648
2014-05-19-14:01:40,22 0.1648
2014-05-19-14:01:45,22 0.1714
2014-05-19-14:01:50,23 0.1648
2014-05-19-14:01:55,23 0.1714
2014-05-19-14:02:00,23 0.1648
2014-05-19-14:02:05,24 0.1648
2014-05-19-14:02:10,24 0.1714
2014-05-19-14:02:15,25 0.1648
2014-05-19-14:02:20,25 0.1714
2014-05-19-14:02:25,25 0.1648
2014-05-19-14:02:30,26 0.1714
2014-05-19-14:02:35,26 0.1648
2014-05-19-14:02:40,27 0.1648
2014-05-19-14:02:45,27 0.1714
2014-05-19-14:02:50,27 0.1648
2014-05-19-14:02:55,28 0.1714
2014-05-19-14:03:00,28 0.1648
2014-05-19-14:03:05,29 0.1714
2014-05-19-14:03:10,29 0.1648
2014-05-19-14:03:15,29 0.1648
2014-05-19-14:03:20,30 0.1714
2014-05-19-14:03:25,30 0.1648
2014-05-19-14:03:30,31 0.1714
2014-05-19-14:03:35,31 0.1648
2014-05-19-14:03:40,31 0.1648
2014-05-19-14:03:45,32 0.1714
2014-05-19-14:03:50,32 0.1648
2014-05-19-14:03:55,32 0.1714
2014-05-19-14:04:00,33 0.1648
2014-05-19-14:04:05,33 0.1648
2014-05-19-14:04:10,34 0.1714
2014-05-19-14:04:15,34 0.1648
2014-05-19-14:04:20,34 0.1714
2014-05-19-14:04:25,35 0.1648
2014-05-19-14:04:30,35 0.1648
2014-05-19-14:04:35,36 0.1714
2014-05-19-14:04:40,36 0.1648
2014-05-19-14:04:45,36 0.1714
2014-05-19-14:04:50,37 0.1648
2014-05-19-14:04:55,37 0.1714
2014-05-19-14:05:00,38 0.1648
2014-05-19-14:05:05,38 0.1648
2014-05-19-14:05:10,38 0.1714
2014-05-19-14:05:15,39 0.1714
2014-05-19-14:05:20,39 0.1648
2014-05-19-14:05:25,40 0.1648
2014-05-19-14:05:30,40 0.1714
2014-05-19-14:05:35,40 0.1648
2014-05-19-14:05:40,41 0.1648
2014-05-19-14:05:45,41 0.1714
2014-05-19-14:05:50,41 0.1648
2014-05-19-14:05:55,42 0.1714
2014-05-19-14:06:00,42 0.1648
2014-05-19-14:06:05,43 0.1714
2014-05-19-14:06:10,43 0.1648
2014-05-19-14:06:15,43 0.1714
2014-05-19-14:06:20,44 0.1648
2014-05-19-14:06:25,44 0.1714
2014-05-19-14:06:30,45 0.1582
2014-05-19-14:06:35,45 0.1714
2014-05-19-14:06:40,45 0.1648
2014-05-19-14:06:45,46 0.1714
2014-05-19-14:06:50,46 0.1648
2014-05-19-14:06:55,47 0.1714
2014-05-19-14:07:00,47 0.1648
2014-05-19-14:07:05,47 0.1714
2014-05-19-14:07:10,48 0.1648
2014-05-19-14:07:15,48 0.1780
2014-05-19-14:07:20,49 0.1647
2014-05-19-14:07:25,49 0.1780
2014-05-19-14:07:30,50 0.1582
2014-05-19-14:07:35,50 0.1780
2014-05-19-14:07:40,50 0.1582
2014-05-19-14:07:45,51 0.1780
