2014-05-19-06:22:13,24 0.0000
2014-05-19-06:22:18,25 0.0000
2014-05-19-06:22:23,25 0.0000
2014-05-19-06:22:28,26 0.0000
2014-05-19-06:22:33,26 0.0000
2014-05-19-06:22:38,26 0.0000
2014-05-19-06:22:43,27 0.0000
2014-05-19-06:22:48,27 0.0000
2014-05-19-06:22:53,28 0.0000
2014-05-19-06:22:58,28 0.0000
2014-05-19-06:23:03,28 0.0000
2014-05-19-06:23:08,29 0.0000
2014-05-19-06:23:13,29 0.0000
2014-05-19-06:23:18,30 0.0000
2014-05-19-06:23:23,30 0.0000
2014-05-19-06:23:28,30 0.0000
2014-05-19-06:23:33,31 0.0000
2014-05-19-06:23:38,31 0.0000
2014-05-19-06:23:43,31 0.0000
2014-05-19-06:23:48,32 0.0000
2014-05-19-06:23:53,32 0.0000
2014-05-19-06:23:58,33 0.0000
2014-05-19-06:24:03,33 0.0000
2014-05-19-06:24:08,33 0.0000
2014-05-19-06:24:13,34 0.0000
2014-05-19-06:24:18,34 0.0000
2014-05-19-06:24:23,35 0.0000
2014-05-19-06:24:28,35 0.0000
2014-05-19-06:24:33,35 0.0000
2014-05-19-06:24:38,36 0.0000
2014-05-19-06:24:43,36 0.0000
2014-05-19-06:24:48,37 0.0000
2014-05-19-06:24:53,37 0.0000
2014-05-19-06:24:58,37 0.0000
2014-05-19-06:25:03,38 0.0000
2014-05-19-06:25:08,38 0.0000
2014-05-19-06:25:13,39 0.0000
2014-05-19-06:25:18,39 0.0000
2014-05-19-06:25:23,39 0.0000
2014-05-19-06:25:28,40 0.0000
2014-05-19-06:25:33,40 0.0000
2014-05-19-06:25:38,40 0.0000
2014-05-19-06:25:43,41 0.0000
2014-05-19-06:25:48,41 0.0000
2014-05-19-06:25:53,42 0.0000
2014-05-19-06:25:58,42 0.0000
2014-05-19-06:26:03,42 0.0000
2014-05-19-06:26:08,43 0.0000
2014-05-19-06:26:13,43 0.0000
2014-05-19-06:26:18,44 0.0000
2014-05-19-06:26:23,44 0.0000
2014-05-19-06:26:28,44 0.0000
2014-05-19-06:26:33,45 0.0000
2014-05-19-06:26:38,45 0.0000
2014-05-19-06:26:43,46 0.0000
2014-05-19-06:26:48,46 0.0000
2014-05-19-06:26:53,46 0.0000
2014-05-19-06:26:58,47 0.0000
2014-05-19-06:27:03,47 0.0000
2014-05-19-06:27:08,48 0.0000
2014-05-19-06:27:13,48 0.0000
2014-05-19-06:27:18,48 0.0000
2014-05-19-06:27:23,49 0.0000
2014-05-19-06:27:28,49 0.0000
2014-05-19-06:27:33,49 0.0000
2014-05-19-06:27:38,50 0.0000
2014-05-19-06:27:43,51 0.0000
2014-05-19-06:27:48,51 0.0000
2014-05-19-06:27:53,51 0.0000
2014-05-19-06:27:58,52 0.0000
2014-05-19-06:28:03,52 0.0000
2014-05-19-06:28:08,53 0.0000
2014-05-19-06:28:13,53 0.0000
2014-05-19-06:28:18,53 0.0000
2014-05-19-06:28:23,54 0.0000
2014-05-19-06:28:28,54 0.0000
2014-05-19-06:28:33,55 0.0000
2014-05-19-06:28:38,55 0.0000
2014-05-19-06:28:43,55 0.0000
2014-05-19-06:28:48,56 0.0000
2014-05-19-06:28:53,56 0.0000
2014-05-19-06:28:58,57 0.0000
2014-05-19-06:29:03,57 0.0000
2014-05-19-06:29:08,57 0.0000
2014-05-19-06:29:13,58 0.0000
2014-05-19-06:29:18,58 0.0000
2014-05-19-06:29:23,58 0.0000
2014-05-19-06:29:28,59 0.0000
2014-05-19-06:29:33,59 0.0000
2014-05-19-06:29:38,60 0.0000
2014-05-19-06:29:43,60 0.0000
2014-05-19-06:29:48,60 0.0000
2014-05-19-06:29:53,61 0.0000
2014-05-19-06:29:58,61 0.0000
2014-05-19-06:30:03,62 0.0000
2014-05-19-06:30:08,62 0.0000
2014-05-19-06:30:13,62 0.0000
2014-05-19-06:30:18,63 0.0000
2014-05-19-06:30:23,63 0.0000
2014-05-19-06:30:28,64 0.0000
2014-05-19-06:30:33,64 0.0000
2014-05-19-06:30:38,64 0.0000
2014-05-19-06:30:43,65 0.0000
2014-05-19-06:30:48,65 0.0000
2014-05-19-06:30:53,66 0.0000
2014-05-19-06:30:58,66 0.0000
2014-05-19-06:31:03,66 0.0000
2014-05-19-06:31:08,67 0.0000
2014-05-19-06:31:13,67 0.0000
2014-05-19-06:31:18,67 0.0000
2014-05-19-06:31:23,68 0.0000
2014-05-19-06:31:28,68 0.0000
2014-05-19-06:31:33,69 0.0000
2014-05-19-06:31:38,69 0.0000
2014-05-19-06:31:43,69 0.0000
2014-05-19-06:31:48,70 0.0000
2014-05-19-06:31:53,70 0.0000
2014-05-19-06:31:58,71 0.0000
2014-05-19-06:32:03,71 0.0000
2014-05-19-06:32:08,71 0.0000
2014-05-19-06:32:13,72 0.0000
2014-05-19-06:32:18,72 0.0000
2014-05-19-06:32:23,73 0.0000
2014-05-19-06:32:28,73 0.0000
2014-05-19-06:32:33,73 0.0000
2014-05-19-06:32:38,74 0.0000
2014-05-19-06:32:43,74 0.0000
2014-05-19-06:32:48,75 0.0000
2014-05-19-06:32:53,75 0.0000
2014-05-19-06:32:58,75 0.0000
2014-05-19-06:33:03,76 0.0000
2014-05-19-06:33:08,76 0.0000
2014-05-19-06:33:13,76 0.0000
2014-05-19-06:33:18,77 0.0000
2014-05-19-06:33:23,77 0.0000
2014-05-19-06:33:28,78 0.0000
2014-05-19-06:33:33,78 0.0000
2014-05-19-06:33:38,78 0.0000
2014-05-19-06:33:43,79 0.0000
2014-05-19-06:33:48,79 0.0000
2014-05-19-06:33:53,80 0.0000
2014-05-19-06:33:58,80 0.0000
